method,agent,dataset,metric,score,signed_error,mlp_signed_error,improvement_over_mlp_pct,win,n_eval_seeds
mlp-ablation-claude-1,claude,tabred/ecom-offers,roc_auc,0.598262519388327,-0.598262519388327,-0.5966655160573497,0.2676547056933875,True,15
mlp-ablation-claude-1,claude,tabred/homecredit-default,roc_auc,0.8598065509765849,-0.8598065509765849,-0.8587498886574522,0.12304657422252076,True,15
mlp-ablation-claude-1,claude,tabred/homesite-insurance,roc_auc,0.9617017482597573,-0.9617017482597573,-0.9599366860258388,0.18387277615421493,True,15
mlp-ablation-claude-1,claude,tabred/maps-routing,rmse,0.16156972779389603,0.16156972779389603,0.1617580105826493,0.11639781428757556,True,15
mlp-ablation-claude-1,claude,tabred/sberbank-housing,rmse,0.23513207405383157,0.23513207405383157,0.24055852033434738,2.2557697282863645,True,15
mlp-ablation-claude-1,claude,tabred/weather,rmse,1.4979414569966552,1.4979414569966552,1.52121138850946,1.529697429862501,True,15
mlp-ablation-claude-2,claude,black-friday,rmse,3468.0228575723013,3468.0228575723013,3472.8161929578873,0.13802444814977166,True,15
mlp-ablation-claude-2,claude,california,rmse,0.4511837159784284,0.4511837159784284,0.4535039941302183,0.5116334545718869,True,15
mlp-ablation-claude-2,claude,churn,accuracy,0.8594333333333334,-0.8594333333333334,-0.8611000000000001,-0.19355088452754673,False,15
mlp-ablation-claude-2,claude,diamond,rmse,521.4053807106676,521.4053807106676,525.7104401100161,0.818903158637584,True,15
mlp-ablation-claude-2,claude,house,rmse,30224.747022318665,30224.747022318665,30996.873974200866,2.4909832924599207,True,15
mlp-ablation-claude-2,claude,microsoft,rmse,0.7442176798011974,0.7442176798011974,0.7465393669974093,0.310993270930883,True,15
mlp-ablation-claude-2,claude,tabarena/APSFailure,roc_auc,0.9928050594293182,-0.9928050594293182,-0.9921826999923364,0.06272629395640061,True,15
mlp-ablation-claude-2,claude,tabarena/Amazon_employee_access,roc_auc,0.8376233052763733,-0.8376233052763733,-0.8329680198625075,0.558879249005773,True,15
